exposure,age,low,central,high
178.10000000000002,25+,3.206578145574002,3.7609204261460585,4.411095507317091
178.20000000000002,25+,3.2071972622176212,3.761745958446632,4.41218032410798
178.3,25+,3.2078159023492976,3.762570877148279,4.413264363206223
178.4,25+,3.2084340666355406,3.7633951830858448,4.4143476256395795
178.5,25+,3.209051755742118,3.764218877093337,4.4154301124348985
178.60000000000002,25+,3.2096689703340355,3.765041960003899,4.416511824618079
178.70000000000002,25+,3.2102857110755574,3.7658644326498303,4.417592763214104
178.8,25+,3.2109019786301887,3.7666862958625713,4.418672929247017
178.9,25+,3.2115177736606833,3.767507550472709,4.419752323739923
179,25+,3.212133096829043,3.7683281973099727,4.420830947714991
179.10000000000002,25+,3.2127479487965127,3.769148237203236,4.421908802193453
179.20000000000002,25+,3.213362330223586,3.769967670980512,4.422985888195595
179.3,25+,3.213976241769995,3.7707864994689535,4.424062206740756
179.4,25+,3.2145896840947232,3.7716047234948538,4.425137758847336
179.5,25+,3.2152026578559916,3.77242234388364,4.426212545532783
179.60000000000002,25+,3.215815163711266,3.7732393614598783,4.427286567813591
179.70000000000002,25+,3.216427202317256,3.774055777047272,4.428359826705311
179.8,25+,3.21703877432991,3.774871591468655,4.429432323222531
179.9,25+,3.2176498804044185,3.775686805545994,4.430504058378884
180,25+,3.2182605211952144,3.7765014201003906,4.431575033187053
180.10000000000002,25+,3.218870697355969,3.777315435952075,4.432645248658751
180.2,25+,3.2194804095395924,3.7781288539204105,4.4337147058047375
180.3,25+,3.220089658398234,3.778941674823881,4.4347834056348
180.4,25+,3.2206984445832845,3.779753899480108,4.435851349157766
180.5,25+,3.22130676874537,3.780565528705835,4.4369185373815
180.6,25+,3.221914631534351,3.781376563316927,4.437984971312882
180.7,25+,3.2225220335993336,3.782187004128382,4.43905065195784
180.8,25+,3.2231289755886525,3.7829968519543145,4.440115580321314
180.9,25+,3.2237354581498834,3.7838061076079663,4.441179757407282
181,25+,3.2243414819298355,3.7846147719016994,4.442243184218736
181.1,25+,3.224947047574552,3.785422845646993,4.443305861757693
181.2,25+,3.2255521557293148,3.7862303296544506,4.444367791025195
181.3,25+,3.2261568070386364,3.787037224733793,4.445428973021296
181.4,25+,3.2267610021462656,3.7878435316938575,4.44648940874507
181.5,25+,3.2273647416951845,3.7886492513426018,4.447549099194608
181.6,25+,3.2279680263276056,3.789454384487093,4.448608045367009
181.7,25+,3.2285708566849793,3.790258931933521,4.449666248258393
181.8,25+,3.2291732334079817,3.791062894487184,4.4507237088638805
181.9,25+,3.2297751571365287,3.791866272952496,4.4517804281776066
182,25+,3.2303766285097617,3.7926690681329855,4.452836407192716
182.1,25+,3.2309776481660553,3.7934712808312874,4.453891646901351
182.2,25+,3.231578216743016,3.794272911849152,4.454946148294667
182.3,25+,3.232178334877478,3.7950739619874376,4.455999912362813
182.4,25+,3.23277800320551,3.795874432046111,4.457052940094946
182.5,25+,3.233377222362408,3.796674322824251,4.458105232479222
182.6,25+,3.2339759929826952,3.797473635120037,4.45915679050279
182.7,25+,3.2345743157001303,3.798272369730763,4.4602076151518
182.8,25+,3.2351721911476945,3.7990705274528223,4.461257707411396
182.9,25+,3.2357696199576016,3.7998681090817183,4.462307068265715
183,25+,3.2363666027612927,3.800665115412056,4.463355698697887
183.1,25+,3.2369631401894363,3.801461547237545,4.4644035996900335
183.2,25+,3.23755923287193,3.802257405350999,4.465450772223264
183.3,25+,3.238154881437896,3.803052690544331,4.4664972172776745
183.4,25+,3.2387500865156884,3.80384740360856,4.467542935832351
183.5,25+,3.2393448487328835,3.804641545333799,4.468587928865364
183.6,25+,3.239939168716289,3.8054351165092695,4.469632197353765
183.7,25+,3.2405330470919327,3.806228117923285,4.470675742273592
183.8,25+,3.241126484485076,3.807020550363263,4.471718564599862
183.9,25+,3.2417194815202017,3.8078124146157175,4.4727606653065735
184,25+,3.24231203882102,3.808603711466259,4.473802045366702
184.1,25+,3.242904157010464,3.809394441699595,4.4748427057521996
184.2,25+,3.243495836710697,3.8101846060995306,4.475882647434001
